match_id,date,time,round,group,stage_type,home_team,away_team,home_score,away_score,city,stadium,host_country,neutral_for_model,has_result
1,2026-06-11,13:00 UTC-6,Matchday 1,Group A,group,Mexico,South Africa,2.0,0.0,Mexico City,,Mexico,False,True
2,2026-06-11,20:00 UTC-6,Matchday 1,Group A,group,South Korea,Czech Republic,2.0,1.0,Guadalajara (Zapopan),,Mexico,True,True
3,2026-06-18,12:00 UTC-4,Matchday 8,Group A,group,Czech Republic,South Africa,1.0,1.0,Atlanta,,United States,True,True
4,2026-06-18,19:00 UTC-6,Matchday 8,Group A,group,Mexico,South Korea,1.0,0.0,Guadalajara (Zapopan),,Mexico,False,True
5,2026-06-24,19:00 UTC-6,Matchday 14,Group A,group,Czech Republic,Mexico,0.0,3.0,Mexico City,,Mexico,False,True
6,2026-06-24,19:00 UTC-6,Matchday 14,Group A,group,South Africa,South Korea,1.0,0.0,Monterrey (Guadalupe),,Mexico,True,True
7,2026-06-12,15:00 UTC-4,Matchday 2,Group B,group,Canada,Bosnia and Herzegovina,1.0,1.0,Toronto,,Canada,False,True
8,2026-06-13,12:00 UTC-7,Matchday 3,Group B,group,Qatar,Switzerland,1.0,1.0,San Francisco Bay Area (Santa Clara),,United States,True,True
9,2026-06-18,12:00 UTC-7,Matchday 8,Group B,group,Switzerland,Bosnia and Herzegovina,4.0,1.0,Los Angeles (Inglewood),,United States,True,True
10,2026-06-18,15:00 UTC-7,Matchday 8,Group B,group,Canada,Qatar,6.0,0.0,Vancouver,,Canada,False,True
11,2026-06-24,12:00 UTC-7,Matchday 14,Group B,group,Switzerland,Canada,2.0,1.0,Vancouver,,Canada,False,True
12,2026-06-24,12:00 UTC-7,Matchday 14,Group B,group,Bosnia and Herzegovina,Qatar,3.0,1.0,Seattle,,United States,True,True
13,2026-06-13,18:00 UTC-4,Matchday 3,Group C,group,Brazil,Morocco,1.0,1.0,New York/New Jersey (East Rutherford),,,True,True
14,2026-06-13,21:00 UTC-4,Matchday 3,Group C,group,Haiti,Scotland,0.0,1.0,Boston (Foxborough),,United States,True,True
15,2026-06-19,18:00 UTC-4,Matchday 9,Group C,group,Scotland,Morocco,0.0,1.0,Boston (Foxborough),,United States,True,True
16,2026-06-19,20:30 UTC-4,Matchday 9,Group C,group,Brazil,Haiti,3.0,0.0,Philadelphia,,United States,True,True
17,2026-06-24,18:00 UTC-4,Matchday 14,Group C,group,Scotland,Brazil,0.0,3.0,Miami (Miami Gardens),,,True,True
18,2026-06-24,18:00 UTC-4,Matchday 14,Group C,group,Morocco,Haiti,4.0,2.0,Atlanta,,United States,True,True
19,2026-06-12,18:00 UTC-7,Matchday 2,Group D,group,United States,Paraguay,4.0,1.0,Los Angeles (Inglewood),,United States,False,True
20,2026-06-13,21:00 UTC-7,Matchday 3,Group D,group,Australia,Turkey,2.0,0.0,Vancouver,,Canada,True,True
21,2026-06-19,12:00 UTC-7,Matchday 9,Group D,group,United States,Australia,2.0,0.0,Seattle,,United States,False,True
