match_id,stage,group,match_date,stadium,city,host_country,team_a,team_b,p_team_a_win,p_draw,p_team_b_win,most_likely_result,sim_goals_team_a,sim_goals_team_b,sim_result,sim_winner
1,Group stage,A,2026-06-11,Estadio Azteca,Mexico City,Mexico,Mexico,South Africa,0.5149836360630845,0.3575123277805421,0.1275040361563734,team_a_win,0,0,draw,Draw
2,Group stage,A,2026-06-12,Estadio Akron,Guadalajara,Mexico,South Korea,Czech Republic,0.3477150712870283,0.3804035666367577,0.2718813620762141,draw,1,0,team_a_win,South Korea
3,Group stage,B,2026-06-12,BMO Field,Toronto,Canada,Canada,Bosnia and Herzegovina,0.5391920600470531,0.3189914913560509,0.1418164485968959,team_a_win,2,1,team_a_win,Canada
4,Group stage,D,2026-06-13,SoFi Stadium,Los Angeles,USA,USA,Paraguay,0.2908012577182013,0.356881016693448,0.3523177255883504,draw,1,0,team_a_win,USA
5,Group stage,D,2026-06-13,BC Place,Vancouver,Canada,Australia,Turkey,0.3208299151798128,0.3199109940614739,0.3592590907587133,team_b_win,2,3,team_b_win,Turkey
6,Group stage,B,2026-06-13,Levi's Stadium,Santa Clara,USA,Qatar,Switzerland,0.1971211809892455,0.2111772015353211,0.5917016174754334,team_b_win,0,1,team_b_win,Switzerland
7,Group stage,C,2026-06-13,MetLife Stadium,East Rutherford,USA,Brazil,Morocco,0.3837709745878765,0.3625516841968885,0.2536773412152349,team_a_win,1,2,team_b_win,Morocco
8,Group stage,C,2026-06-14,Gillette Stadium,Boston,USA,Haiti,Scotland,0.1659877838329914,0.3095640083370187,0.5244482078299898,team_b_win,2,1,team_a_win,Haiti
9,Group stage,E,2026-06-14,NRG Stadium,Houston,USA,Germany,Curaçao,0.5799044865550221,0.3163787636749489,0.1037167497700289,team_a_win,2,1,team_a_win,Germany
10,Group stage,F,2026-06-14,AT&T Stadium,Dallas,USA,Netherlands,Japan,0.3986304008764423,0.3794259764769376,0.2219436226466201,team_a_win,2,1,team_a_win,Netherlands
11,Group stage,E,2026-06-14,Lincoln Financial Field,Philadelphia,USA,Côte d'Ivoire,Ecuador,0.1588404430736275,0.2826030852254174,0.5585564717009551,team_b_win,0,0,draw,Draw
12,Group stage,F,2026-06-15,Estadio BBVA,Monterrey,Mexico,Sweden,Tunisia,0.3082892737529543,0.3958968115756031,0.2958139146714424,draw,0,0,draw,Draw
13,Group stage,H,2026-06-15,Mercedes-Benz Stadium,Atlanta,USA,Spain,Cabo Verde,0.6687788749756401,0.262380900891254,0.0688402241331057,team_a_win,3,1,team_a_win,Spain
14,Group stage,G,2026-06-15,Lumen Field,Seattle,USA,Belgium,Egypt,0.4392316201800739,0.3879898415359525,0.1727785382839736,team_a_win,2,1,team_a_win,Belgium
15,Group stage,H,2026-06-15,Hard Rock Stadium,Miami,USA,Saudi Arabia,Uruguay,0.1409986025321,0.2648384633440048,0.5941629341238952,team_b_win,1,2,team_b_win,Uruguay
16,Group stage,G,2026-06-16,SoFi Stadium,Los Angeles,USA,Iran,New Zealand,0.4231719804987611,0.3527954152917527,0.2240326042094862,team_a_win,0,0,draw,Draw
17,Group stage,J,2026-06-16,Levi's Stadium,Santa Clara,USA,Austria,Jordan,0.3671089433779493,0.3872212980836707,0.2456697585383799,draw,2,1,team_a_win,Austria
18,Group stage,I,2026-06-16,MetLife Stadium,East Rutherford,USA,France,Senegal,0.4612465234810336,0.3815697921771659,0.1571836843418005,team_a_win,1,1,draw,Draw
19,Group stage,I,2026-06-16,Gillette Stadium,Boston,USA,Iraq,Norway,0.129119287622313,0.2954899503647126,0.5753907620129745,team_b_win,0,2,team_b_win,Norway
20,Group stage,J,2026-06-17,GEHA Field at Arrowhead Stadium,Kansas City,USA,Argentina,Algeria,0.5214431531868898,0.3529825988248883,0.1255742479882219,team_a_win,3,1,team_a_win,Argentina
21,Group stage,K,2026-06-17,NRG Stadium,Houston,USA,Portugal,DR Congo,0.5845943851843994,0.3003104492617142,0.1150951655538864,team_a_win,2,2,draw,Draw
22,Group stage,L,2026-06-17,AT&T Stadium,Dallas,USA,England,Croatia,0.3588075216224615,0.3954393679865595,0.245753110390979,draw,1,1,draw,Draw
23,Group stage,L,2026-06-17,BMO Field,Toronto,Canada,Ghana,Panama,0.249439561286799,0.2846204663382952,0.4659399723749058,team_b_win,0,0,draw,Draw
24,Group stage,K,2026-06-18,Estadio Azteca,Mexico City,Mexico,Uzbekistan,Colombia,0.1393490604118986,0.2664905823895994,0.594160357198502,team_b_win,2,2,draw,Draw
25,Group stage,A,2026-06-18,Mercedes-Benz Stadium,Atlanta,USA,Czech Republic,South Africa,0.3658467379089484,0.3933733418247021,0.2407799202663496,draw,1,2,team_b_win,South Africa
