group,team,played,wins,draws,losses,goals_for,goals_against,points,combined_strength,goal_difference,group_position
A,South Korea,3,2,0,1,4,3,6,0.45946784467768487,1,1
A,Mexico,3,1,2,0,3,2,5,0.3860319403317035,1,2
A,South Africa,3,1,1,1,4,4,4,0.10355341187384555,0,3
A,Czech Republic,3,0,1,2,3,5,1,0.38677200547395646,-2,4
B,Canada,3,2,1,0,6,4,7,0.38404891247081907,2,1
B,Switzerland,3,2,1,0,5,3,7,0.5418530448847363,2,2
B,Bosnia and Herzegovina,3,0,1,2,3,5,1,0.21030015239822097,-2,3
B,Qatar,3,0,1,2,2,4,1,0.22191639934203494,-2,4
C,Morocco,3,3,0,0,6,3,9,0.49554833457477127,3,1
C,Haiti,3,1,1,1,5,5,4,0.09959879775277808,0,2
C,Brazil,3,0,2,1,5,6,2,0.6498826884033833,-1,3
C,Scotland,3,0,1,2,4,6,1,0.41100983735282987,-2,4
D,USA,3,2,1,0,5,3,7,0.46056003099683285,2,1
D,Paraguay,3,1,1,1,1,1,4,0.447092776863939,0,2
D,Turkey,3,1,0,2,4,5,3,0.49283841723144073,-1,3
D,Australia,3,0,2,1,4,5,2,0.37778699812499217,-1,4
E,Germany,3,2,1,0,6,4,7,0.6418534397105715,2,1
E,Ecuador,3,1,2,0,4,3,5,0.5155564965099196,1,2
E,Côte d'Ivoire,3,1,1,1,3,3,4,0.40072889936830103,0,3
E,Curaçao,3,0,0,3,3,6,0,0.04524226170411051,-3,4
F,Netherlands,3,2,0,1,9,8,6,0.5231143555248399,1,1
F,Japan,3,1,1,1,4,3,4,0.5379420999739669,1,2
F,Sweden,3,1,1,1,5,6,4,0.41605621814568594,-1,3
F,Tunisia,3,0,2,1,3,4,2,0.29671345016595496,-1,4
G,Belgium,3,2,1,0,7,5,7,0.5375320559314336,2,1
G,Iran,3,1,2,0,5,4,5,0.36605269753693515,1,2
G,Egypt,3,1,0,2,6,7,3,0.41545791077669325,-1,3
G,New Zealand,3,0,1,2,4,6,1,0.21357633103758766,-2,4
H,Spain,3,2,1,0,7,4,7,0.9566540926743698,3,1
H,Uruguay,3,1,1,1,5,5,4,0.5232443379249423,0,2
H,Saudi Arabia,3,0,2,1,5,6,2,0.2630921101175528,-1,3
H,Cabo Verde,3,0,2,1,5,7,2,0.3406046079347145,-2,4
I,France,3,2,1,0,6,2,7,0.773324479336237,4,1
I,Norway,3,2,0,1,5,3,6,0.554958852214874,2,2
I,Senegal,3,0,2,1,4,5,2,0.5207192499499366,-1,3
I,Iraq,3,0,1,2,2,7,1,0.2296840040947752,-5,4
J,Argentina,3,2,1,0,6,3,7,0.7247880723736655,3,1
J,Austria,3,1,1,1,4,4,4,0.4664393786651735,0,2
J,Algeria,3,1,1,1,4,5,4,0.46221456872723155,-1,3
J,Jordan,3,0,1,2,3,5,1,0.27521491970984335,-2,4
K,Portugal,3,1,2,0,6,5,5,0.6670448137240568,1,1
K,Colombia,3,1,2,0,6,5,5,0.5767782440133347,1,2
K,DR Congo,3,0,2,1,3,4,2,0.3458664295128711,-1,3
K,Uzbekistan,3,0,2,1,3,4,2,0.25677156869281237,-1,4
L,England,3,1,2,0,4,3,5,0.6671788842508781,1,1
L,Panama,3,1,2,0,2,1,5,0.24107340742504368,1,2
L,Croatia,3,1,1,1,4,3,4,0.5712003525475198,1,3
L,Ghana,3,0,1,2,2,5,1,0.25220618368552916,-3,4
