group,team_slot,team,is_host_team,host_country_if_host,first_match_id,team_key,group_winner_probability,group_runner_up_probability,best_third_probability,round_of_32_probability,round_of_16_probability,quarter_final_probability,semi_final_probability,final_probability,third_place_match_probability,champion_probability,runner_up_probability,third_place_probability,fourth_place_probability,group_stage_exit_probability,top_4_probability,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,top2_probability,kaggle_champion_probability,elo_country,elo_year,elo_snapshot_date,elo_rank,elo_rating,elo_rank_avg,elo_rating_avg,elo_matches_total,elo_wins,elo_losses,elo_draws,elo_goals_for,elo_goals_against,elo_confederation,elo_is_host,fc26_players_count,fc26_top23_overall_mean,fc26_top11_overall_mean,fc26_max_overall,fc26_attack_mean,fc26_midfield_mean,fc26_defense_mean,fc26_physical_mean,fc26_goalkeepers_count,fc26_top3_gk_mean,fc25_players_count,fc25_top23_overall_mean,fc25_top11_overall_mean,fc25_total_value_eur_top23,fc25_int_caps_top23,elo_score,elo_rank_score,squad_fc26_score,squad_fc25_score,market_fc25_score,kaggle_prob_score,combined_strength,combined_rank
H,H2,Spain,False,,13,spain,0.6506,0.2378,0.0704,0.9588,0.7763,0.6113,0.5012,0.4061,0.0951,0.2909,0.1152,0.0717,0.0234,0.0412,0.5012,0.6506,0.2378,0.0865,0.0251,0.8884,0.2909,Spain,2026.0,2026-12-31,1.0,2165.0,7.0,1946.0,780.0,461.0,138.0,181.0,1591.0,697.0,UEFA,0.0,843.0,84.95652173913044,86.45454545454545,90.0,74.95652173913044,80.1304347826087,64.73913043478261,74.8695652173913,77.0,85.66666666666667,49.0,84.08695652173913,86.81818181818181,1121703308.0,1545.0,1.0,1.0,0.9894421960232271,0.6120689655172407,0.9755875691800026,1.0,0.9566540926743698,1
I,I2,France,False,,18,france,0.5541,0.2529,0.1083,0.9153,0.6851,0.4649,0.2982,0.1495,0.1487,0.079,0.0705,0.0966,0.0521,0.0847,0.2982,0.5541,0.2529,0.1397,0.0533,0.807,0.079,France,2026.0,2026-12-31,3.0,2081.0,16.0,1795.0,938.0,474.0,269.0,195.0,1706.0,1272.0,UEFA,0.0,843.0,85.17391304347827,86.72727272727273,91.0,70.73913043478261,76.52173913043478,64.3913043478261,77.17391304347827,73.0,83.33333333333333,56.0,85.3913043478261,88.72727272727273,1483892613.0,1276.0,0.8864864864864865,0.9787234042553191,1.0,0.8706896551724155,0.9886880512350912,0.27157098659333107,0.773324479336237,2
J,J4,Argentina,False,,20,argentina,0.6087,0.2346,0.0921,0.9354,0.5844,0.4302,0.3028,0.2083,0.0945,0.1182,0.0901,0.0664,0.0281,0.0645999999999999,0.3028,0.6087,0.2346,0.1122,0.0445,0.8433,0.1182,Argentina,2026.0,2026-12-31,2.0,2113.0,5.0,1987.0,1109.0,610.0,228.0,271.0,2112.0,1136.0,CONMEBOL,0.0,979.0,82.65217391304348,85.0,88.0,74.26086956521739,76.78260869565217,61.82608695652174,76.30434782608695,105.0,82.0,46.0,82.0,85.45454545454545,895569203.0,1399.0,0.9297297297297298,0.9893617021276596,0.8775294738694353,0.1982758620689656,0.9650468933207675,0.406325197662427,0.7247880723736655,3
L,L2,England,False,,22,england,0.5137,0.2917,0.1118,0.9172,0.6541,0.438,0.2891,0.1675,0.1216,0.0938,0.0737,0.0815,0.0401,0.0827999999999999,0.2891,0.5137,0.2917,0.1409,0.0537,0.8054000000000001,0.0938,England,2026.0,2026-12-31,4.0,2020.0,4.0,1983.0,1160.0,683.0,215.0,262.0,2719.0,1118.0,UEFA,0.0,1411.0,83.95652173913044,86.0909090909091,90.0,73.82608695652173,80.1304347826087,64.17391304347827,74.69565217391305,160.0,82.0,49.0,81.17391304347827,85.81818181818181,1021668820.0,1311.0,0.8040540540540541,0.9680851063829787,0.9408762977300721,0.03448275862069053,0.9712143056929198,0.3224475764867652,0.6671788842508781,4
K,K2,Portugal,False,,21,portugal,0.4602,0.3038,0.1242,0.8882,0.5692,0.3771,0.2065,0.1246,0.0819,0.0648,0.0598,0.0525,0.0294,0.1118,0.2065,0.4602,0.3038,0.1665,0.0695,0.764,0.0648,Portugal,2026.0,2026-12-31,5.0,1984.0,19.0,1797.0,694.0,346.0,189.0,159.0,1222.0,779.0,UEFA,0.0,302.0,83.21739130434783,85.27272727272727,89.0,72.82608695652173,78.43478260869566,61.56521739130435,74.26086956521739,29.0,80.66666666666667,49.0,83.47826086956522,85.81818181818181,919010664.0,1205.0,0.7554054054054054,0.9574468085106383,0.9049797642090445,0.49137931034482807,0.9662565735659083,0.2227569611550361,0.6670448137240568,5
C,C2,Brazil,False,,7,brazil,0.5259,0.2915,0.1099,0.9273,0.6382,0.3801,0.2554,0.1105,0.1449,0.0521,0.0584,0.0851,0.0598,0.0726999999999999,0.2554,0.5259,0.2915,0.1365,0.0461,0.8174,0.0521,Brazil,2026.0,2026-12-31,5.0,1984.0,4.0,1998.0,1065.0,670.0,172.0,223.0,2294.0,954.0,CONMEBOL,0.0,343.0,83.91304347826087,86.36363636363636,89.0,69.82608695652173,75.43478260869566,62.78260869565217,76.91304347826087,26.0,85.0,57.0,82.78260869565217,86.18181818181819,1087561918.0,1394.0,0.7554054054054054,0.9574468085106383,0.9387647369347176,0.3534482758620688,0.974140445141704,0.17909934685458923,0.6498826884033833,6
E,E2,Germany,False,,9,germany,0.3689,0.3242,0.155,0.8481,0.4799,0.2601,0.1225,0.0416,0.0809,0.0131,0.0285,0.0326,0.0483,0.1519,0.1225,0.3689,0.3242,0.2129,0.094,0.6931,0.0131,Germany,2026.0,2026-12-31,11.0,1923.0,8.0,1911.0,1045.0,604.0,224.0,217.0,2352.0,1232.0,UEFA,0.0,1122.0,83.82608695652173,85.72727272727273,89.0,71.73913043478261,78.47826086956522,64.17391304347827,76.6086956521739,155.0,84.33333333333333,68.0,85.3913043478261,88.63636363636364,1530320224.0,1420.0,0.672972972972973,0.8936170212765957,0.934541615344008,0.8706896551724155,0.9901304143599061,0.045032657270539705,0.6418534397105715,7
K,K3,Colombia,False,,24,colombia,0.3788,0.3446,0.1434,0.8668,0.5201,0.3207,0.167,0.0999,0.0671,0.0507,0.0492,0.0407,0.0264,0.1331999999999999,0.167,0.3788,0.3446,0.1904,0.0862,0.7234,0.0507,Colombia,2026.0,2026-12-31,7.0,1975.0,48.0,1621.0,648.0,265.0,205.0,178.0,842.0,741.0,CONMEBOL,0.0,177.0,77.95652173913044,79.72727272727273,85.0,70.91304347826087,70.6086956521739,56.17391304347826,74.82608695652173,9.0,74.33333333333333,56.0,82.3913043478261,85.36363636363636,856589667.0,1210.0,0.7432432432432432,0.9361702127659575,0.6494809079711421,0.2758620689655186,0.9629634932033172,0.17428669645926437,0.5767782440133347,8
L,L1,Croatia,False,,22,croatia,0.3323,0.355,0.1513,0.8386,0.4829,0.2581,0.1338,0.0639,0.0699,0.025,0.0389,0.0394,0.0305,0.1614,0.1338,0.3323,0.355,0.2143,0.0984,0.6873,0.025,Croatia,2026.0,2026-12-31,10.0,1930.0,12.0,1881.0,398.0,209.0,83.0,106.0,694.0,401.0,UEFA,0.0,153.0,78.82608695652173,81.18181818181819,84.0,71.08695652173913,74.30434782608695,60.52173913043478,73.69565217391305,17.0,77.0,60.0,83.65217391304348,87.0909090909091,1169229695.0,1110.0,0.6824324324324325,0.9042553191489362,0.691712123878233,0.5258620689655186,0.977530344446193,0.08594018563080097,0.5712003525475198,9
I,I3,Norway,False,,19,norway,0.2091,0.312,0.2108,0.7319,0.4205,0.2044,0.0936,0.0313,0.0623,0.0116,0.0197,0.0249,0.0374,0.2681,0.0936,0.2091,0.312,0.3067,0.1722,0.5211,0.0116,Norway,2026.0,2026-12-31,12.0,1912.0,38.0,1623.0,886.0,334.0,355.0,197.0,1373.0,1443.0,UEFA,0.0,385.0,77.26086956521739,80.18181818181819,90.0,68.69565217391305,70.73913043478261,58.47826086956522,76.52173913043478,36.0,72.0,57.0,84.56521739130434,89.0,1324287360.0,1404.0,0.6581081081081082,0.8829787234042553,0.6156959352454688,0.7068965517241376,0.9833604909274095,0.039876246132691646,0.554958852214874,10
