team,dynamic_elo_rating,initial_elo_rating,dynamic_elo_delta
Spain,2150.273148018831,2165.0,-14.726851981169148
Argentina,2144.6660326867404,2113.0,31.666032686740436
France,2137.9821892061154,2081.0,56.982189206115436
England,2037.0757792155362,2020.0,17.07577921553616
Brazil,2000.881245512502,1984.0,16.88124551250189
Colombia,1999.4177424439758,1975.0,24.41774244397584
Netherlands,1991.7613458934943,1961.0,30.76134589349431
Portugal,1986.007494238219,1984.0,2.0074942382188965
Norway,1921.0664705193728,1912.0,9.066470519372842
Croatia,1920.2119774043085,1930.0,-9.788022595691473
Switzerland,1912.4012584005793,1889.0,23.40125840057931
Japan,1909.62033752439,1904.0,5.6203375243899245
Germany,1907.0707099440242,1923.0,-15.929290055975798
Mexico,1898.0141364782908,1860.0,38.014136478290766
Ecuador,1895.4879302576578,1933.0,-37.51206974234219
Morocco,1870.9880844489685,1822.0,48.98808444896849
Belgium,1862.9031787320223,1867.0,-4.0968212679777025
Senegal,1856.0769919224776,1878.0,-21.923008077522354
Turkey,1845.8862782071333,1902.0,-56.11372179286673
Uruguay,1838.0730628287918,1892.0,-53.92693717120824
Austria,1832.2754039714207,1827.0,5.275403971420701
Paraguay,1813.0657735697037,1833.0,-19.93422643029635
Australia,1803.0736172416343,1783.0,20.073617241634338
United States,1776.974330981529,1721.0,55.974330981528965
Algeria,1762.9563320755708,1743.0,19.9563320755708
Iran,1753.2711044351543,1760.0,-6.728895564845743
Sweden,1749.2869441217033,1719.0,30.2869441217033
Canada,1745.129987373083,1784.0,-38.87001262691706
Egypt,1736.767202025931,1689.0,47.767202025931056
Scotland,1731.4346160202379,1767.0,-35.565383979762146
Côte d'Ivoire,1727.556148735372,1676.0,51.55614873537206
South Korea,1716.951679902372,1752.0,-35.04832009762799
Congo DR,1716.0875871831656,1655.0,61.087587183165624
Czech Republic,1667.8888011693887,1726.0,-58.11119883061133
Panama,1661.089477304967,1737.0,-75.91052269503302
Uzbekistan,1639.4871761346396,1727.0,-87.51282386536036
Jordan,1633.1022312662685,1690.0,-56.89776873373148
Bosnia and Herzegovina,1620.4817840863689,1594.0,26.48178408636886
Saudi Arabia,1582.3847030148183,1568.0,14.384703014818342
South Africa,1579.1453824499486,1524.0,55.145382449948556
Ghana,1571.6227660751886,1503.0,68.62276607518857
Tunisia,1569.3313724604125,1636.0,-66.66862753958753
Iraq,1562.8743483520338,1607.0,-44.12565164796615
Cabo Verde,1554.2690861375586,,54.26908613755859
New Zealand,1548.0585148068924,1585.0,-36.94148519310761
Haiti,1501.6960540182918,1532.0,-30.30394598170824
Curacao,1437.885211062946,1436.0,1.8852110629459276
Qatar,1413.986970139969,1425.0,-11.01302986003111
