team,last_10_points_per_match,last_10_goal_difference_per_match,last_10_win_rate,last_10_opponent_elo_mean,last_10_match_count,six_month_points_per_match,six_month_goal_difference_per_match,six_month_opponent_elo_mean,six_month_match_count
Spain,2.4,2.4,0.7,1610.0,10,2.0,1.25,1574.0,4
France,2.5,1.6,0.8,1613.5,10,2.25,1.0,1783.75,4
Argentina,2.5,2.2,0.8,1590.8,10,3.0,2.75,1500.0,4
England,2.5,2.2,0.8,1588.1,10,1.75,0.75,1720.25,4
Portugal,2.3,1.7,0.7,1558.1,10,2.5,1.0,1645.25,4
Brazil,1.9,1.4,0.6,1760.7,10,2.25,1.5,1859.25,4
Germany,2.7,2.0,0.9,1561.3,10,3.0,1.75,1653.25,4
Colombia,2.2,1.5,0.7,1721.3,10,1.5,0.25,1800.25,4
Croatia,2.2,0.9,0.7,1655.2,10,1.5,-0.5,1831.5,4
Norway,2.1,2.3,0.6,1647.6,10,1.25,0.25,1847.75,4
Switzerland,1.9,1.4,0.5,1674.6,10,1.25,0.5,1827.0,4
Japan,2.3,1.3,0.7,1718.8,10,3.0,1.0,1762.3333333333333,3
Belgium,2.4,3.1,0.7,1614.7,10,2.5,2.5,1786.75,4
Uruguay,1.6,0.1,0.4,1690.4,10,1.0,0.0,1881.5,2
Netherlands,2.1,1.4,0.6,1631.5,10,1.75,0.25,1828.75,4
Senegal,2.0,0.7,0.6,1595.5,10,2.090909090909091,0.9090909090909091,1586.8181818181818,11
Ecuador,1.8,0.7,0.4,1774.7,10,2.0,1.0,1712.75,4
Morocco,2.4,1.9,0.7,1655.6,10,2.466666666666667,1.7333333333333334,1616.4,15
Turkey,2.5,1.2,0.8,1633.0,10,3.0,1.75,1500.0,4
Austria,2.5,2.3,0.8,1557.9,10,3.0,2.0,1630.3333333333333,3
Algeria,2.3,1.7,0.7,1600.8,10,2.3,1.7,1600.8,10
United States,1.6,0.1,0.5,1874.9,10,0.75,-1.25,1913.0,4
South Korea,1.9,0.3,0.6,1690.4,10,1.5,0.25,1625.75,4
Paraguay,1.4,0.2,0.4,1747.6,10,2.0,1.3333333333333333,1607.3333333333333,3
Sweden,0.9,-0.7,0.2,1619.0,10,1.75,0.25,1603.0,4
Egypt,1.8,0.7,0.5,1679.5,10,1.9090909090909092,0.7272727272727273,1663.1818181818182,11
Scotland,1.9,1.1,0.6,1551.6,10,1.5,1.25,1629.0,4
Côte d'Ivoire,2.2,1.1,0.7,1635.7,10,2.375,1.25,1661.125,8
Czech Republic,1.9,1.3,0.5,1549.8,10,2.0,1.25,1500.0,4
Mexico,2.1,1.2,0.6,1709.9,10,2.5,1.625,1671.75,8
Canada,1.7,0.7,0.4,1655.4,10,1.5,0.5,1590.75,4
Australia,1.6,0.3,0.5,1683.5,10,1.75,1.0,1671.25,4
Iran,1.7,1.1,0.5,1515.2,10,2.25,2.0,1500.0,4
Congo DR,1.8,0.6,0.5,1562.1,10,1.75,0.625,1577.625,8
Cabo Verde,1.6,0.4,0.4,1544.9,10,1.0,-0.5,1500.0,4
Tunisia,1.3,-0.1,0.3,1593.5,10,1.125,-0.5,1626.25,8
Jordan,1.7,0.2,0.5,1655.0,10,1.1428571428571428,-0.5714285714285714,1694.4285714285713,7
Saudi Arabia,1.3,-0.1,0.4,1651.2,10,1.0,-0.42857142857142855,1670.0,7
Uzbekistan,1.5,0.5,0.4,1651.1,10,1.0,-0.2,1649.0,5
Ghana,1.1,-0.3,0.3,1676.6,10,0.25,-1.75,1777.5,4
Panama,1.6,0.2,0.4,1598.6,10,1.2857142857142858,-0.2857142857142857,1640.857142857143,7
Iraq,1.7,0.1,0.5,1609.8,10,1.4,-0.2,1671.0,5
Qatar,0.7,-0.8,0.1,1513.6,10,0.5,-0.5,1500.0,2
New Zealand,0.4,-1.1,0.1,1743.8,10,0.75,-1.0,1638.0,4
Bosnia and Herzegovina,1.5,1.0,0.3,1589.1,10,1.0,0.0,1559.25,4
South Africa,1.7,0.5,0.5,1566.3,10,1.375,0.0,1582.875,8
Haiti,1.5,0.5,0.4,1522.1,10,1.0,0.5,1555.25,4
Curacao,1.5,0.5,0.4,1555.0,10,0.75,-1.25,1637.5,4
