team,group,technical_rank,model_strength_v0_2,dynamic_elo_rating,dynamic_elo_delta,last_10_points_per_match,six_month_points_per_match
Spain,H,1,0.8755794315049884,2150.273148018831,-14.726851981169148,2.4,2.0
France,I,2,0.8534006672689334,2137.9821892061154,56.982189206115436,2.5,2.25
Argentina,J,3,0.8427875093118762,2144.6660326867404,31.666032686740436,2.5,3.0
England,L,4,0.7510129158389988,2037.0757792155362,17.07577921553616,2.5,1.75
Brazil,C,5,0.7360448493594477,2000.881245512502,16.88124551250189,1.9,2.25
Germany,E,6,0.7285137291245707,1907.0707099440242,-15.929290055975798,2.7,3.0
Portugal,K,7,0.7268238099070562,1986.007494238219,2.0074942382188965,2.3,2.5
Colombia,K,8,0.6664623758629288,1999.4177424439758,24.41774244397584,2.2,1.5
Belgium,G,9,0.6623717741625353,1862.9031787320223,-4.0968212679777025,2.4,2.5
Japan,F,10,0.643942204780694,1909.62033752439,5.6203375243899245,2.3,3.0
Morocco,C,11,0.635591780482746,1870.9880844489685,48.98808444896849,2.4,2.466666666666667
Norway,I,12,0.6243686283198167,1921.0664705193728,9.066470519372842,2.1,1.25
Netherlands,F,13,0.6209448837470778,1991.7613458934943,30.76134589349431,2.1,1.75
Croatia,L,14,0.6179738856331056,1920.2119774043085,-9.788022595691473,2.2,1.5
Turkey,D,15,0.609043521085509,1845.8862782071333,-56.11372179286673,2.5,3.0
Switzerland,B,16,0.607871990014961,1912.4012584005793,23.40125840057931,1.9,1.25
Austria,J,17,0.6015765176336895,1832.2754039714207,5.275403971420701,2.5,3.0
Senegal,I,18,0.5811766570592828,1856.0769919224776,-21.923008077522354,2.0,2.090909090909091
Mexico,A,19,0.5786855126501588,1898.0141364782908,38.014136478290766,2.1,2.5
Ecuador,E,20,0.5712846466300928,1895.4879302576578,-37.51206974234219,1.8,2.0
Algeria,J,21,0.5544327446531724,1762.9563320755708,19.9563320755708,2.3,2.3
United States,D,22,0.5349378980518844,1776.974330981529,55.974330981528965,1.6,0.75
Uruguay,H,23,0.5264106887642578,1838.0730628287918,-53.92693717120824,1.6,1.0
Côte d'Ivoire,E,24,0.522769910316276,1727.556148735372,51.55614873537206,2.2,2.375
Paraguay,D,25,0.502705330331332,1813.0657735697037,-19.93422643029635,1.4,2.0
Egypt,G,26,0.4820560993297326,1736.767202025931,47.767202025931056,1.8,1.9090909090909092
Canada,B,27,0.47172588198503657,1745.129987373083,-38.87001262691706,1.7,1.5
South Korea,A,28,0.46497630222241715,1716.951679902372,-35.04832009762799,1.9,1.5
Scotland,C,29,0.46078496787307005,1731.4346160202379,-35.565383979762146,1.9,1.5
Australia,D,30,0.4589882617324333,1803.0736172416343,20.073617241634338,1.6,1.75
Sweden,F,31,0.44642792981983115,1749.2869441217033,30.2869441217033,0.9,1.75
Czech Republic,A,32,0.4402120655069543,1667.8888011693887,-58.11119883061133,1.9,2.0
Iran,G,33,0.43978505568174403,1753.2711044351543,-6.728895564845743,1.7,2.25
Congo DR,K,34,0.4391603287857808,1716.0875871831656,61.087587183165624,1.8,1.75
Jordan,J,35,0.3491478754716928,1633.1022312662685,-56.89776873373148,1.7,1.1428571428571428
Bosnia and Herzegovina,B,36,0.3232925299520075,1620.4817840863689,26.48178408636886,1.5,1.0
Uzbekistan,K,37,0.30783497137203797,1639.4871761346396,-87.51282386536036,1.5,1.0
Panama,L,38,0.30189908744256927,1661.089477304967,-75.91052269503302,1.6,1.2857142857142858
Saudi Arabia,H,39,0.3010976818817337,1582.3847030148183,14.384703014818342,1.3,1.0
Ghana,L,40,0.2951259931805708,1571.6227660751886,68.62276607518857,1.1,0.25
Cabo Verde,H,41,0.28816372395320927,1554.2690861375586,54.26908613755859,1.6,1.0
Tunisia,F,42,0.27800287976095595,1569.3313724604125,-66.66862753958753,1.3,1.125
Iraq,I,43,0.26119016561391367,1562.8743483520338,-44.12565164796615,1.7,1.4
South Africa,A,44,0.24546730458023583,1579.1453824499486,55.145382449948556,1.7,1.375
New Zealand,G,45,0.19742596399123838,1548.0585148068924,-36.94148519310761,0.4,0.75
Qatar,B,46,0.17742203967583486,1413.986970139969,-11.01302986003111,0.7,0.5
Haiti,C,47,0.1764379094356979,1501.6960540182918,-30.30394598170824,1.5,1.0
Curacao,E,48,0.12197033391526849,1437.885211062946,1.8852110629459276,1.5,0.75
