Name,Age,Nationality,Club,League,Position,PlayStyle,Overall,Potential,Value_EUR,Wage_EUR,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Acceleration,SprintSpeed,Finishing,ShotPower,LongShots,Volleys,Penalties,Vision,Crossing,ShortPassing,LongPassing,FKAccuracy,Curve,Agility,Balance,Reactions,BallControl,Composure,Interceptions,HeadingAccuracy,DefAwareness,StandingTackle,SlidingTackle,Jumping,Stamina,Strength,Aggression,WeakFoot,SkillMoves,Height_cm,Weight_kg,PreferredFoot,Form,IntCaps,IntGoals,Appearances,Goals,Assists
Kylian Mbappé,25,France,Real Madrid,La Liga,ST,Explosive Winger,91,92,180000000,370000,97,90,80,92,36,76,97,97,89,91,82,87,85,87,68,78,82,78,85,93,89,91,95,88,31,73,32,28,28,30,74,77,63,4,5,178,73,Right,9,80,45,35,28,9
Erling Haaland,24,Norway,Manchester City,Premier League,ST,Target Man,91,93,170000000,340000,88,92,65,80,45,88,87,89,96,94,80,85,88,65,48,65,68,62,72,78,72,94,79,93,45,90,45,39,45,95,93,88,72,3,3,194,88,Left,10,35,28,34,32,5
Vinicius Junior,24,Brazil,Real Madrid,La Liga,LW,Explosive Winger,91,94,160000000,320000,95,84,80,93,27,75,96,94,88,85,79,83,75,86,87,82,85,68,88,95,83,93,93,86,21,55,24,18,18,79,76,67,52,5,5,176,73,Right,9,42,22,32,18,12
Jude Bellingham,21,England,Real Madrid,La Liga,CM,Box to Box,90,95,175000000,350000,80,87,83,88,78,83,78,82,84,87,85,82,80,86,79,84,85,76,80,85,85,81,88,85,74,80,77,75,76,83,82,79,81,4,4,186,75,Right,9,28,12,34,20,8
Rodri,28,Spain,Manchester City,Premier League,CDM,Anchor,91,90,110000000,250000,66,80,86,84,87,85,63,69,77,83,84,72,76,87,76,88,89,74,75,68,72,84,82,84,87,84,84,85,84,83,70,82,89,3,3,191,82,Right,10,55,8,30,6,7
Lionel Messi,37,Argentina,Inter Miami,MLS,RW,Enganche,85,85,15000000,80000,82,88,91,91,34,65,83,81,88,82,92,85,90,95,85,91,92,93,95,91,81,92,96,92,31,35,37,22,21,69,62,72,44,4,5,170,72,Left,8,180,106,18,10,14
Harry Kane,31,England,Bayern Munich,Bundesliga,ST,Complete Forward,90,89,110000000,230000,76,93,83,82,55,83,73,79,96,93,90,90,88,90,76,85,84,80,82,79,77,90,85,93,57,88,60,57,54,84,82,87,73,3,3,188,86,Right,9,90,63,36,30,10
Mohamed Salah,32,Egypt,Liverpool,Premier League,RW,Inside Forward,89,87,85000000,220000,92,87,81,89,44,74,93,91,87,83,83,86,78,84,85,81,79,76,84,82,88,90,90,88,39,55,46,32,30,72,77,67,53,4,4,175,71,Left,9,100,52,34,22,11
Kylian Rodrigues,25,Indonesia,Atlanta United,MLS,CAM,Shadow Striker,67,72,1624018,1978,76,74,83,81,39,62,69,70,74,69,83,72,67,78,87,82,85,84,90,82,76,81,88,79,39,54,43,44,30,70,69,67,70,4,4,167,74,Right,7,42,4,17,8,17
Sander Dybala,27,Hungary,Nice,Ligue 1,RW,Explosive Winger,72,74,3267823,4749,88,78,75,83,34,67,85,87,70,75,78,74,83,77,80,76,81,84,79,84,90,89,90,80,28,67,35,36,27,66,70,64,65,4,2,177,80,Right,7,41,18,12,6,5
Giuliano Gnabry,26,Bolivia,AS Roma,Serie A,CF,Advanced Forward,73,74,6000285,14151,83,82,73,81,30,75,84,79,77,82,77,86,90,75,78,76,81,74,88,81,78,86,87,88,36,74,35,29,29,83,75,78,73,5,3,182,76,Right,7,31,,6,7,16
Sadio Lewandowski,24,USA,Lille,Ligue 1,CDM,Anchor,75,80,5088933,7516,63,59,76,71,80,80,56,69,63,59,50,60,60,80,80,78,75,79,68,68,76,72,64,75,82,83,84,77,85,76,82,81,71,2,2,194,77,Left,4,8,10,26,6,18
Daichi Bruno,27,China,Rennes,Ligue 1,CAM,Classic 10,66,66,1173802,2405,70,74,80,80,48,60,68,66,68,79,66,64,73,78,71,83,76,75,74,80,75,83,76,86,48,62,43,43,44,61,54,62,51,2,2,183,75,Left,6,97,17,26,1,17
Daley Bonucci,20,Nigeria,Osasuna,La Liga,CDM,Anchor,78,94,8547482,14293,72,66,81,72,86,77,70,75,72,70,61,69,63,89,80,84,88,83,75,78,72,71,78,71,80,76,93,92,84,83,79,79,80,4,4,185,93,Right,1,44,11,,6,3
Agustín Berghuis,21,Burkina Faso,Borussia Dortmund,Bundesliga,CM,Box to Box,88,92,84275274,118198,76,78,86,81,72,74,70,73,77,77,76,77,81,93,94,88,89,87,88,79,84,86,81,81,73,73,68,67,69,76,68,78,82,3,4,184,68,Left,9,24,13,15,10,14
Alexander Kompany,33,Peru,Atalanta,Serie A,CF,False 9,72,72,2807105,3164,77,82,76,78,36,78,77,71,74,84,82,87,89,82,77,72,69,72,83,72,72,78,78,72,29,73,31,37,29,77,72,79,82,5,4,169,77,Right,5,1,8,3,22,20
Jan Budimir,27,Netherlands,Hertha Berlin,Bundesliga,LW,Explosive Winger,73,77,3806226,4740,87,76,74,86,33,67,87,91,83,73,68,73,77,75,79,69,73,70,96,88,84,86,80,85,29,66,39,29,26,60,62,72,67,4,3,183,70,Right,2,97,13,5,2,
Julian Corona,27,Uruguay,Mainz,Bundesliga,LW,Explosive Winger,75,78,4289778,6489,86,79,84,87,29,69,79,91,79,81,71,74,86,92,89,82,81,90,90,90,94,82,87,90,34,70,27,24,25,71,68,73,75,5,3,174,82,Right,1,113,20,1,10,18
Ilkay Silva,31,Indonesia,Osasuna,La Liga,CDM,Anchor,67,67,826352,1359,61,59,74,72,82,74,58,61,66,53,50,69,58,71,74,76,66,79,75,66,71,67,72,67,78,80,89,83,89,74,73,80,80,5,3,175,68,Right,8,52,11,31,0,17
Andreas Immobile,21,Saudi Arabia,Bayer Leverkusen,Bundesliga,LM,Inside Forward,76,84,5678417,6526,81,75,79,84,51,72,81,79,77,76,83,77,81,81,76,84,78,85,86,80,89,78,82,91,55,75,54,47,57,65,67,73,81,2,1,179,97,Right,9,34,9,37,10,4
Max Schmidt,29,Russia,Seattle Sounders,MLS,CM,Playmaker,63,67,775892,2125,63,62,76,72,59,66,56,65,56,58,62,59,56,81,70,82,71,78,67,76,73,66,65,74,52,66,57,62,63,62,62,67,70,3,4,180,69,Right,6,79,2,34,5,15
Leroy Lukaku,18,India,Lazio,Serie A,LW,Explosive Winger,71,78,1816928,2451,82,81,77,81,31,66,80,84,82,84,85,79,87,78,74,77,84,68,78,80,84,84,78,82,23,69,28,23,40,59,73,68,72,3,5,174,77,Right,5,58,0,29,10,2
Renato Thomas,26,Zambia,Darmstadt,Bundesliga,CDM,Defensive Midfielder,71,72,3175783,5240,62,60,77,74,81,73,57,67,63,61,67,58,57,77,83,83,78,88,74,79,69,75,68,70,80,76,87,84,74,77,66,70,81,4,4,174,80,Right,1,39,1,8,4,13
Axel En-Nesyri,28,Angola,Rennes,Ligue 1,CB,Ball Playing Defender,74,78,4651810,6372,68,58,70,64,85,85,64,75,54,57,63,59,63,66,74,74,65,73,73,63,64,58,68,67,83,90,85,84,87,80,88,83,93,3,1,178,82,Right,2,81,9,7,0,15
Thomas González,22,Romania,Sporting CP,Primeira Liga,RW,Inside Forward,80,85,24100489,29571,87,82,81,94,29,72,82,92,74,79,77,76,82,78,75,85,73,73,84,92,93,97,92,86,26,71,22,25,33,80,66,76,65,3,3,169,72,Right,3,100,4,35,3,7
Lautaro Tagliafico,31,Slovakia,Celta Vigo,La Liga,LM,Inside Forward,82,83,17059442,19721,85,74,79,87,52,71,80,79,70,71,83,81,76,83,86,77,85,83,96,86,82,93,91,82,50,75,52,51,56,73,77,71,74,4,4,181,70,Right,1,7,12,6,7,2
Ali Weber,36,Colombia,Real Betis,La Liga,CAM,Classic 10,79,78,16073612,21928,79,77,86,84,51,66,85,82,82,83,69,76,78,89,80,89,94,80,78,87,91,81,90,79,54,74,49,46,50,65,71,65,74,4,3,180,80,Left,2,95,51,3,8,3
Leroy Milinković,30,Indonesia,Luton Town,Premier League,CF,Advanced Forward,68,66,1132819,1700,74,80,70,78,39,73,78,72,74,87,72,74,77,63,63,68,76,79,81,78,84,78,75,76,47,67,37,44,33,74,76,76,82,3,2,172,83,Left,2,18,1,33,13,5
Jamal Kroos,36,Tunisia,Sassuolo,Serie A,LM,Inside Forward,67,65,1162710,2863,80,66,72,81,43,64,86,84,59,65,57,70,60,74,81,72,76,82,91,80,82,76,80,73,45,60,48,49,45,58,63,70,58,3,2,186,68,Right,6,,13,24,3,11
Samir Di María,25,Uganda,Osasuna,La Liga,RB,Attacking Full Back,82,85,23364751,35029,71,53,77,70,86,73,76,76,47,48,59,57,59,79,78,73,83,67,75,70,71,76,67,63,89,80,80,87,91,79,66,66,75,3,4,177,77,Right,9,65,11,9,2,5
Ivan Moreno,33,Guinea,Borussia Dortmund,Bundesliga,CDM,Anchor,80,81,18585294,25013,65,68,80,73,84,82,60,58,67,72,73,72,76,88,76,79,83,77,75,72,75,77,75,66,86,75,82,79,92,86,79,79,77,4,4,176,76,Right,4,41,4,28,5,2
Axel Troost,24,Rwanda,AC Milan,Serie A,CM,Playmaker,82,89,21483689,28606,75,76,90,79,75,68,73,80,83,72,74,70,72,84,90,96,85,94,86,85,87,73,82,81,71,71,70,72,71,65,72,68,60,4,1,179,80,Right,3,85,2,27,0,5
Kasper Medel,27,Poland,Fenerbahce,Süper Lig,CAM,Classic 10,79,82,15415684,19055,75,82,84,84,51,70,72,68,89,88,84,89,77,92,78,82,78,96,79,81,90,86,79,89,45,68,57,57,53,62,69,63,73,3,5,176,83,Right,10,56,18,32,2,19
Yussuf Dupont,27,Japan,Sporting CP,Primeira Liga,RM,Wide Midfielder,74,76,3957000,5853,83,75,74,79,52,69,89,78,83,74,69,74,74,75,68,68,73,75,89,84,85,74,73,86,44,76,54,51,47,70,68,62,71,4,3,180,76,Left,5,117,4,30,0,0
Shkodran Giménez,32,Spain,Lazio,Serie A,RB,Defensive Full Back,68,69,2194968,5238,72,50,69,66,77,72,74,76,52,45,42,51,52,66,74,74,76,77,61,71,62,61,70,72,70,72,73,70,74,65,70,79,72,3,4,186,86,Left,8,5,11,1,1,20
