team,group_probability,round_32_probability,round_16_probability,quarter_final_probability,semi_final_probability,final_probability,champion_probability,confed,ensemble_strength,elo_fifa_strength,poisson_strength,gradient_proxy_strength,economic_strength
Spain,1.0,0.9847,0.8295,0.5992,0.4151,0.273,0.1772,UEFA,0.9586798331138681,1.0,0.9788461538461538,0.9783372816452968,0.8029444436579852
France,1.0,0.9867,0.8345,0.5961,0.4025,0.2629,0.1683,UEFA,0.9547667234957441,0.9721424065854622,0.9817129629629631,0.9664469478156508,0.8466558378486928
Argentina,1.0,0.9793,0.7999,0.5515,0.3501,0.2108,0.1191,CONMEBOL,0.8968864037858788,0.9493409929462051,0.9211182336182336,0.8871841907969891,0.759683920781999
England,1.0,0.979,0.8009,0.5399,0.3384,0.2011,0.1136,UEFA,0.8952762905975608,0.9172665320617877,0.9065349002849004,0.9124269860638003,0.8001940958506957
Brazil,1.0,0.9773,0.7873,0.5197,0.3105,0.1764,0.0906,CONMEBOL,0.8661540363063308,0.8851920711773703,0.8670940170940172,0.8744840026183035,0.8123147278022578
Germany,1.0,0.9645,0.7384,0.4509,0.2509,0.1354,0.0658,UEFA,0.8092672604547724,0.7982417357692784,0.802795584045584,0.8017727385039345,0.8567525325622005
Portugal,1.0,0.9682,0.7397,0.4486,0.2529,0.1285,0.059,UEFA,0.8051018630072166,0.8438445630477924,0.8276531339031339,0.8226293375542004,0.6533014635559239
Netherlands,1.0,0.9623,0.7358,0.4455,0.2482,0.127,0.059,UEFA,0.8014413213541952,0.8210431494085354,0.8173789173789174,0.7959360842680016,0.7395378683397265
Italy,1.0,0.9566,0.6777,0.3798,0.1899,0.0863,0.0361,UEFA,0.7267713446250793,0.7290366342251626,0.7245192307692307,0.6750307287121707,0.8129793529914577
Belgium,1.0,0.9464,0.6504,0.3601,0.1716,0.0713,0.025,UEFA,0.7057659563274306,0.7467818680891388,0.720210113960114,0.6713054660509898,0.6522799679993814
Uruguay,1.0,0.9306,0.6126,0.3124,0.1463,0.0584,0.0184,CONMEBOL,0.6597558552565282,0.7011790408106248,0.6704950142450143,0.6206637505652067,0.6205846739902319
Croatia,1.0,0.9098,0.5534,0.2647,0.1113,0.0427,0.0145,UEFA,0.6097408048154505,0.6555762135321107,0.6244836182336182,0.5540321626219241,0.5814320975350048
Colombia,1.0,0.9102,0.5616,0.2775,0.1219,0.043,0.0136,CONMEBOL,0.6264728678298475,0.6783776271713677,0.6376246438746439,0.5963540557362674,0.5505578172131806
Switzerland,1.0,0.8955,0.521,0.2407,0.098,0.0341,0.0104,UEFA,0.5938749201418236,0.6235017526476934,0.5850427350427351,0.5487755737096085,0.6274512027152871
Denmark,1.0,0.8774,0.4905,0.2254,0.0905,0.0301,0.0084,UEFA,0.5696573428025977,0.6007003390084363,0.566755698005698,0.533558408816721,0.5735395299611806
Morocco,1.0,0.8595,0.4527,0.203,0.077,0.023,0.0043,CAF,0.5400804751941329,0.5778989253691793,0.5456018518518518,0.5061882028266064,0.5098879421411467
USA,1.0,0.8291,0.4034,0.1618,0.056,0.0156,0.0043,CONCACAF,0.5067301797357016,0.5314952374643206,0.458707264957265,0.41135055904239326,0.7122119283241838
Japan,1.0,0.7978,0.3641,0.1411,0.0428,0.013,0.0029,AFC,0.4762279246805354,0.495165457430967,0.44042022792022795,0.4138374588996165,0.6139523623351516
South Korea,1.0,0.7592,0.3096,0.1074,0.0326,0.0084,0.0019,AFC,0.42492908794421896,0.4445064503771721,0.3798254985754986,0.3757177583350353,0.5580004244977262
Mexico,1.0,0.8009,0.3638,0.1381,0.046,0.0125,0.0016,CONCACAF,0.472966137221531,0.5086938238250636,0.4338497150997151,0.4135004276951782,0.5788531241353527
Senegal,1.0,0.7591,0.3125,0.1135,0.0357,0.0074,0.001,CAF,0.4222416665818214,0.47236404379171,0.4301460113960114,0.39724793009417764,0.3478444500130703
Serbia,1.0,0.6986,0.2435,0.0741,0.0205,0.0043,0.0008,UEFA,0.3729437282250424,0.4081766703438185,0.36153846153846153,0.3492856608082437,0.36471848972198306
Ecuador,1.0,0.7231,0.2626,0.0849,0.0231,0.0044,0.0007,CONMEBOL,0.38009505342320776,0.42929133699512373,0.3798254985754986,0.32355230918053834,0.3764795030459102
Poland,1.0,0.7032,0.246,0.0767,0.0196,0.0034,0.0005,UEFA,0.3732179601589924,0.38908447560262566,0.3403846153846154,0.3169310919238287,0.5009630658790861
Austria,1.0,0.7045,0.2449,0.079,0.022,0.0046,0.0005,UEFA,0.37178437011976295,0.37437701079239266,0.3549679487179487,0.333359704770769,0.46427304049312185
Ukraine,1.0,0.6412,0.1985,0.0569,0.0132,0.0031,0.0004,UEFA,0.33228887624352527,0.3397339777469909,0.3403846153846154,0.31287571393600055,0.33356246546695495
Turkey,1.0,0.6934,0.2293,0.0683,0.0174,0.0034,0.0003,UEFA,0.35818577149818853,0.3532623441410874,0.3469551282051282,0.3195516963140047,0.4548840381054848
Canada,1.0,0.6082,0.1773,0.0486,0.0102,0.0022,0.0003,CONCACAF,0.3133861295406839,0.30340419771363725,0.3009437321937322,0.25320645296834343,0.4585342488425812
Iran,1.0,0.5441,0.1499,0.0391,0.0085,0.0018,0.0003,AFC,0.2788011668645939,0.27634746492544404,0.2760861823361823,0.23672198614734932,0.35927050766179097
Australia,1.0,0.6254,0.1899,0.0534,0.012,0.0024,0.0003,AFC,0.3148663382373637,0.28987583131954064,0.29066951566951565,0.2608253606944525,0.5033092931135579
Norway,1.0,0.6798,0.2222,0.0637,0.0147,0.0028,0.0002,UEFA,0.3413854598695473,0.3245188643649424,0.353525641025641,0.31065102097684627,0.40206235338773794
Chile,1.0,0.5319,0.1398,0.0376,0.0089,0.0011,0.0002,CONMEBOL,0.2736090672970053,0.26281909853134744,0.2512286324786325,0.20421191672055816,0.45561179209247843
Ghana,1.0,0.4133,0.0839,0.019,0.0034,0.0007,0.0002,CAF,0.20422872056127933,0.19471213085668038,0.19720441595441598,0.18419072149513294,0.2707071742944479
Peru,1.0,0.4965,0.1239,0.0305,0.0058,0.0007,0.0001,CONMEBOL,0.24770825576485656,0.24457027728413053,0.23007478632478634,0.19424635729466544,0.3783543157234343
Tunisia,1.0,0.3735,0.0738,0.0132,0.0025,0.0004,0.0001,CAF,0.17008317046656446,0.14957443928235054,0.17234686609686609,0.15755016446017328,0.22746158491837448
Egypt,1.0,0.449,0.1053,0.0234,0.004,0.0003,0.0001,CAF,0.22055050354784736,0.1766311720705437,0.2074786324786325,0.2070683205692696,0.3570032136051806
Nigeria,1.0,0.4831,0.1169,0.0285,0.0055,0.0011,0.0,CAF,0.2409468842302199,0.2129609521038973,0.22863247863247863,0.21183736255396116,0.37006342913877893
Paraguay,1.0,0.4489,0.106,0.0238,0.0042,0.0004,0.0,CONMEBOL,0.22396883127449976,0.2264893184979939,0.2117877492877493,0.1981925317499298,0.28625052000862905
Algeria,1.0,0.4156,0.0899,0.0205,0.004,0.0004,0.0,CAF,0.19976509049581104,0.1631028056764471,0.18262108262108262,0.19600290479541932,0.3136479853846486
Cameroon,1.0,0.3617,0.0713,0.0142,0.0018,0.0003,0.0,CAF,0.16460670963930663,0.13604607288825396,0.15776353276353275,0.1641253236319926,0.23621664690514974
Ivory Coast,1.0,0.3508,0.0695,0.0133,0.0028,0.0003,0.0,CAF,0.1613432939948432,0.12251770649415736,0.1643340455840456,0.15586208816914332,0.24214830886064317
Saudi Arabia,1.0,0.3605,0.0683,0.0129,0.0022,0.0004,0.0,AFC,0.1572356092250386,0.10898934010006077,0.11832264957264958,0.13100286216270574,0.37527531188366053
Qatar,1.0,0.301,0.0491,0.0104,0.0014,0.0002,0.0,AFC,0.11943527935879125,0.08618792646080378,0.07888176638176637,0.09863876628457528,0.3016978662325092
Uzbekistan,1.0,0.296,0.0456,0.0081,0.0017,0.0001,0.0,AFC,0.08692751456946082,0.07265956006670718,0.06429843304843305,0.08620129247178426,0.16193195677981792
Costa Rica,1.0,0.2711,0.0422,0.0061,0.0006,0.0002,0.0,CONCACAF,0.08034226963205313,0.04985814642745017,0.054024216524216524,0.05544853984710962,0.23543617189850474
Panama,1.0,0.2798,0.0413,0.0067,0.0006,0.0,0.0,CONCACAF,0.07023665863510492,0.03632978003335358,0.03944088319088319,0.07166521752941853,0.1972610352365284
Jamaica,1.0,0.2581,0.0345,0.0051,0.0004,0.0,0.0,CONCACAF,0.05392740258209702,0.022801413639257008,0.04601139601139601,0.0782085260768367,0.09154285445127963
New Zealand,1.0,0.2536,0.0353,0.0051,0.0008,0.0001,0.0,OFC,0.04434293765247505,0.0,0.014583333333333332,0.024754901960784302,0.22519474774852655
