team,round_32_probability,round_16_probability,quarter_final_probability,semi_final_probability,final_probability,champion_probability,rating
Argentina,0.978,0.515,0.296,0.197,0.159,0.159,94
France,0.979,0.479,0.269,0.162,0.131,0.131,93
Spain,0.967,0.49,0.223,0.151,0.112,0.112,92
England,0.969,0.483,0.213,0.117,0.086,0.086,91
Brazil,0.948,0.529,0.294,0.122,0.082,0.082,90
Portugal,0.954,0.464,0.259,0.091,0.064,0.064,89
Netherlands,0.938,0.506,0.23,0.1,0.061,0.061,87
Germany,0.947,0.5,0.234,0.083,0.059,0.059,88
Belgium,0.917,0.481,0.278,0.167,0.059,0.059,85
Italy,0.917,0.493,0.245,0.159,0.044,0.044,84
Uruguay,0.903,0.483,0.233,0.139,0.038,0.038,83
Colombia,0.862,0.456,0.231,0.126,0.028,0.028,82
Croatia,0.862,0.463,0.238,0.101,0.025,0.025,81
Switzerland,0.841,0.467,0.247,0.099,0.023,0.023,80
Denmark,0.847,0.476,0.249,0.107,0.023,0.017,79
Morocco,0.832,0.463,0.227,0.108,0.048,0.01,78
USA,0.825,0.456,0.242,0.132,0.087,0.001,77
South Korea,0.717,0.39,0.184,0.091,0.058,0.001,74
Mexico,0.789,0.45,0.234,0.134,0.103,0.0,76
Japan,0.734,0.39,0.207,0.121,0.088,0.0,75
Canada,0.721,0.399,0.195,0.101,0.075,0.0,73
Serbia,0.663,0.353,0.183,0.063,0.029,0.0,72
Poland,0.663,0.374,0.182,0.102,0.053,0.0,71
Australia,0.601,0.329,0.182,0.104,0.043,0.0,70
Ecuador,0.608,0.352,0.175,0.114,0.044,0.0,70
Chile,0.543,0.3,0.147,0.085,0.029,0.0,69
Peru,0.514,0.289,0.142,0.081,0.026,0.0,68
Paraguay,0.519,0.281,0.143,0.082,0.028,0.0,68
Egypt,0.417,0.204,0.112,0.058,0.017,0.0,67
Nigeria,0.45,0.249,0.133,0.072,0.019,0.0,67
Senegal,0.45,0.247,0.154,0.06,0.013,0.0,67
Ghana,0.399,0.216,0.121,0.051,0.009,0.0,66
Tunisia,0.304,0.181,0.098,0.032,0.007,0.0,65
Algeria,0.329,0.164,0.086,0.038,0.011,0.0,65
Qatar,0.261,0.126,0.068,0.022,0.006,0.0,64
Saudi Arabia,0.268,0.152,0.071,0.028,0.006,0.0,64
Iran,0.285,0.169,0.066,0.023,0.008,0.0,64
Uzbekistan,0.234,0.117,0.057,0.018,0.004,0.0,63
New Zealand,0.169,0.087,0.027,0.017,0.005,0.0,62
Costa Rica,0.17,0.092,0.041,0.011,0.0,0.0,62
Panama,0.143,0.063,0.025,0.009,0.002,0.0,61
Jamaica,0.121,0.048,0.013,0.001,0.0,0.0,61
South Africa,0.089,0.023,0.009,0.003,0.0,0.0,60
Cameroon,0.097,0.041,0.015,0.003,0.0,0.0,60
Ivory Coast,0.095,0.048,0.02,0.008,0.001,0.0,60
Norway,0.71,0.411,0.217,0.109,0.067,0.0,73
Ukraine,0.678,0.367,0.204,0.09,0.047,0.0,72
Turkey,0.704,0.42,0.226,0.105,0.073,0.0,72
