team,group_stage_probability,round_of_32_probability,round_of_16_probability,quarter_final_probability,semi_final_probability,final_probability,champion_probability,group,technical_rank,model_strength_v0_2,dynamic_elo_rating,dynamic_elo_delta
Spain,1.0,0.99239,0.73851,0.55484,0.43578,0.3091,0.19751,H,1,0.8755794315049884,2150.273148018831,-14.726851981169148
France,1.0,0.97509,0.80114,0.58804,0.42754,0.27308,0.17299,I,2,0.8534006672689334,2137.9821892061154,56.982189206115436
Argentina,1.0,0.97323,0.71433,0.56092,0.40935,0.26477,0.16317,J,3,0.8427875093118762,2144.6660326867404,31.666032686740436
Germany,1.0,0.96561,0.67814,0.47462,0.28328,0.14096,0.06718,E,6,0.7285137291245707,1907.0707099440242,-15.929290055975798
England,1.0,0.97222,0.67431,0.42684,0.24236,0.13356,0.06684,L,4,0.7510129158389988,2037.0757792155362,17.07577921553616
Brazil,1.0,0.9637,0.65554,0.38501,0.24675,0.12589,0.06192,C,5,0.7360448493594477,2000.881245512502,16.88124551250189
Portugal,1.0,0.94864,0.67718,0.41919,0.22841,0.11899,0.0574,K,7,0.7268238099070562,1986.007494238219,2.0074942382188965
Belgium,1.0,0.95777,0.65165,0.4042,0.16918,0.08269,0.03407,G,9,0.6623717741625353,1862.9031787320223,-4.0968212679777025
Colombia,1.0,0.91054,0.57489,0.30305,0.14748,0.06767,0.02728,K,8,0.6664623758629288,1999.4177424439758,24.41774244397584
Switzerland,1.0,0.94923,0.62448,0.2676,0.12021,0.04629,0.01664,B,16,0.607871990014961,1912.4012584005793,23.40125840057931
Turkey,1.0,0.83141,0.51743,0.26876,0.09792,0.04028,0.0144,D,15,0.609043521085509,1845.8862782071333,-56.11372179286673
Croatia,1.0,0.91103,0.49486,0.22134,0.09927,0.04042,0.0142,L,14,0.6179738856331056,1920.2119774043085,-9.788022595691473
Japan,1.0,0.91648,0.45793,0.20176,0.09655,0.03835,0.01386,F,10,0.643942204780694,1909.62033752439,5.6203375243899245
Morocco,1.0,0.90725,0.47912,0.21191,0.09989,0.0373,0.01298,C,11,0.635591780482746,1870.9880844489685,48.98808444896849
Norway,1.0,0.82219,0.46862,0.22415,0.10085,0.03808,0.0128,I,12,0.6243686283198167,1921.0664705193728,9.066470519372842
Netherlands,1.0,0.89242,0.43062,0.19155,0.08903,0.03448,0.01177,F,13,0.6209448837470778,1991.7613458934943,30.76134589349431
Ecuador,1.0,0.85465,0.42153,0.19962,0.07567,0.02477,0.0073,E,20,0.5712846466300928,1895.4879302576578,-37.51206974234219
Senegal,1.0,0.75206,0.39588,0.1744,0.06908,0.0233,0.00714,I,18,0.5811766570592828,1856.0769919224776,-21.923008077522354
Austria,1.0,0.7709,0.2963,0.14585,0.06237,0.02242,0.00674,J,17,0.6015765176336895,1832.2754039714207,5.275403971420701
Mexico,1.0,0.92785,0.49285,0.20277,0.06934,0.0223,0.00633,A,19,0.5786855126501588,1898.0141364782908,38.014136478290766
United States,1.0,0.75126,0.38514,0.1614,0.04711,0.01484,0.00405,D,22,0.5349378980518844,1776.974330981529,55.974330981528965
Algeria,1.0,0.68346,0.24013,0.11054,0.04081,0.01356,0.00371,J,21,0.5544327446531724,1762.9563320755708,19.9563320755708
Uruguay,1.0,0.82248,0.2559,0.11464,0.04416,0.01339,0.0034,H,23,0.5264106887642578,1838.0730628287918,-53.92693717120824
Côte d'Ivoire,1.0,0.79292,0.34364,0.14222,0.04494,0.01299,0.00321,E,24,0.522769910316276,1727.556148735372,51.55614873537206
Paraguay,1.0,0.63582,0.29211,0.1116,0.02941,0.0084,0.00228,D,25,0.502705330331332,1813.0657735697037,-19.93422643029635
Egypt,1.0,0.79558,0.34447,0.12318,0.03144,0.00812,0.0019,G,26,0.4820560993297326,1736.767202025931,47.767202025931056
Canada,1.0,0.87004,0.41908,0.12861,0.0366,0.00888,0.00189,B,27,0.47172588198503657,1745.129987373083,-38.87001262691706
South Korea,1.0,0.7674,0.3331,0.11081,0.02859,0.00687,0.00151,A,28,0.46497630222241715,1716.951679902372,-35.04832009762799
Czech Republic,1.0,0.72428,0.29195,0.09429,0.02196,0.00487,0.00111,A,32,0.4402120655069543,1667.8888011693887,-58.11119883061133
Scotland,1.0,0.66774,0.21956,0.06706,0.01892,0.00442,0.001,C,29,0.46078496787307005,1731.4346160202379,-35.565383979762146
Australia,1.0,0.52767,0.21526,0.07309,0.01709,0.00462,0.0009,D,30,0.4589882617324333,1803.0736172416343,20.073617241634338
Iran,1.0,0.72442,0.26524,0.07844,0.0178,0.00431,0.00079,G,33,0.43978505568174403,1753.2711044351543,-6.728895564845743
Sweden,1.0,0.63648,0.19039,0.05653,0.01516,0.00344,0.00062,F,31,0.44642792981983115,1749.2869441217033,30.2869441217033
Congo DR,1.0,0.54147,0.16895,0.04888,0.01203,0.00296,0.0006,K,34,0.4391603287857808,1716.0875871831656,61.087587183165624
Jordan,1.0,0.2385,0.04725,0.01238,0.00253,0.00053,0.00011,J,35,0.3491478754716928,1633.1022312662685,-56.89776873373148
Bosnia and Herzegovina,1.0,0.58957,0.18021,0.03979,0.00632,0.00085,8e-05,B,36,0.3232925299520075,1620.4817840863689,26.48178408636886
Uzbekistan,1.0,0.25438,0.05617,0.01147,0.00195,0.00031,7e-05,K,37,0.30783497137203797,1639.4871761346396,-87.51282386536036
Panama,1.0,0.37084,0.0822,0.01541,0.00253,0.00044,7e-05,L,38,0.30189908744256927,1661.089477304967,-75.91052269503302
Cabo Verde,1.0,0.35807,0.05392,0.01129,0.00171,0.00028,5e-05,H,41,0.28816372395320927,1554.2690861375586,54.26908613755859
Iraq,1.0,0.13234,0.03009,0.00553,0.00092,0.00014,4e-05,I,43,0.26119016561391367,1562.8743483520338,-44.12565164796615
South Africa,1.0,0.28274,0.06577,0.01244,0.00138,0.0002,3e-05,A,44,0.24546730458023583,1579.1453824499486,55.145382449948556
Ghana,1.0,0.33489,0.06686,0.01073,0.00185,0.00025,3e-05,L,40,0.2951259931805708,1571.6227660751886,68.62276607518857
Tunisia,1.0,0.24626,0.04497,0.00858,0.00133,0.00018,2e-05,F,42,0.27800287976095595,1569.3313724604125,-66.66862753958753
Saudi Arabia,1.0,0.38026,0.05949,0.01238,0.00199,0.00032,1e-05,H,39,0.3010976818817337,1582.3847030148183,14.384703014818342
New Zealand,1.0,0.20446,0.03167,0.00364,0.00042,5e-05,0.0,G,45,0.19742596399123838,1548.0585148068924,-36.94148519310761
Qatar,1.0,0.25259,0.0438,0.0054,0.00041,6e-05,0.0,B,46,0.17742203967583486,1413.986970139969,-11.01302986003111
Haiti,1.0,0.12955,0.01621,0.00197,0.00022,2e-05,0.0,C,47,0.1764379094356979,1501.6960540182918,-30.30394598170824
Curacao,1.0,0.08987,0.01116,0.00128,0.00011,0.0,0.0,E,48,0.12197033391526849,1437.885211062946,1.8852110629459276
