match_id,group,team_a,team_b,host_country,venue,stadium,city,neutral_for_model,goals_a,goals_b,outcome,p_team_a_win,p_draw,p_team_b_win
1,A,Mexico,South Africa,Mexico,"Estadio Azteca, Mexico City",Estadio Azteca,Mexico City,False,2,2,draw,0.7074798890106287,0.2023268685007424,0.09019324248862877
2,A,South Korea,Czech Republic,Mexico,"Estadio Akron, Guadalajara",Estadio Akron,Guadalajara,True,2,1,team_a_win,0.39843375051651764,0.2560129578888105,0.34555329159467185
3,B,Canada,Bosnia and Herzegovina,Canada,"BMO Field, Toronto",BMO Field,Toronto,False,1,2,team_b_win,0.5609798185864127,0.23207723032268235,0.20694295109090496
4,D,United States,Paraguay,United States,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,False,0,0,draw,0.43569612779263006,0.2507855565969911,0.31351831561037885
5,D,Australia,Turkey,Canada,"BC Place, Vancouver",BC Place,Vancouver,True,1,2,team_b_win,0.22676489776136005,0.23584110324415483,0.5373939989944851
6,B,Qatar,Switzerland,United States,"Levi's Stadium, Santa Clara",Levi's Stadium,Santa Clara,True,0,1,team_b_win,0.06282065985047604,0.19069755799540072,0.7464817821541233
7,C,Brazil,Morocco,United States,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,True,3,4,team_b_win,0.4843409938500735,0.24382705591085105,0.2718319502390754
8,C,Haiti,Scotland,United States,"Gillette Stadium, Boston",Gillette Stadium,Boston,True,2,3,team_b_win,0.13344762069950658,0.2156288735915831,0.6509235057089102
9,E,Germany,Curacao,United States,"NRG Stadium, Houston",NRG Stadium,Houston,True,2,1,team_a_win,0.810196128655406,0.16375526337130236,0.026048607973291553
10,F,Netherlands,Japan,United States,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,True,2,3,team_b_win,0.3473012452287676,0.2562974313135878,0.3964013234576447
11,E,Côte d'Ivoire,Ecuador,United States,"Lincoln Financial Field, Philadelphia",Lincoln Financial Field,Philadelphia,True,1,0,team_a_win,0.3220887456819443,0.2521891274534755,0.4257221268645802
12,F,Sweden,Tunisia,Mexico,"Estadio BBVA, Monterrey",Estadio BBVA,Monterrey,True,0,0,draw,0.5560130887463755,0.2328835669405211,0.21110334431310337
13,H,Spain,Cabo Verde,United States,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,True,2,0,team_a_win,0.7988849694429674,0.169537981037026,0.0315770495200066
14,G,Belgium,Egypt,United States,"Lumen Field, Seattle",Lumen Field,Seattle,True,2,2,draw,0.5677254824142229,0.23096917635191877,0.2013053412338582
15,H,Saudi Arabia,Uruguay,United States,"Hard Rock Stadium, Miami",Hard Rock Stadium,Miami,True,0,1,team_b_win,0.16683317412745674,0.22372460589191362,0.6094422199806296
16,G,Iran,New Zealand,United States,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,True,2,2,draw,0.624120082496388,0.2209801862378286,0.15489973126578338
17,J,Austria,Jordan,United States,"Levi's Stadium, Santa Clara",Levi's Stadium,Santa Clara,True,0,1,team_b_win,0.6324938870470547,0.21935898861191855,0.1481471243410268
18,I,France,Senegal,United States,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,True,1,0,team_a_win,0.6483126944512491,0.21617193435624626,0.1355153711925047
19,I,Iraq,Norway,United States,"Gillette Stadium, Boston",Gillette Stadium,Boston,True,3,4,team_b_win,0.08802476090750787,0.20152826750434963,0.7104469715881425
20,J,Argentina,Algeria,United States,"GEHA Field at Arrowhead Stadium, Kansas City",GEHA Field at Arrowhead Stadium,Kansas City,True,2,1,team_a_win,0.6605772073333847,0.2135748828899487,0.12584790977666677
21,K,Portugal,Congo DR,United States,"NRG Stadium, Houston",NRG Stadium,Houston,True,4,3,team_a_win,0.6600630316104744,0.21368617953947466,0.1262507888500509
22,L,England,Croatia,United States,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,True,1,2,team_b_win,0.5010163143869616,0.24137453577117496,0.25760914984186345
23,L,Ghana,Panama,Canada,"BMO Field, Toronto",BMO Field,Toronto,True,0,0,draw,0.35469214014882405,0.25750078182381825,0.3878070780273578
24,K,Uzbekistan,Colombia,Mexico,"Estadio Azteca, Mexico City",Estadio Azteca,Mexico City,True,0,4,team_b_win,0.09001262867663928,0.20226098787696659,0.7077263834463942
25,A,Czech Republic,South Africa,United States,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,True,2,3,team_b_win,0.5815610028230518,0.22864609349079834,0.18979290368614987
26,B,Switzerland,Bosnia and Herzegovina,United States,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,True,2,3,team_b_win,0.6283899108178105,0.22015887559118652,0.151451213591003
27,B,Canada,Qatar,Canada,"BC Place, Vancouver",BC Place,Vancouver,False,2,1,team_a_win,0.6825692300504318,0.20859208138821853,0.10883868856134976
28,A,Mexico,South Korea,Mexico,"Estadio Akron, Guadalajara",Estadio Akron,Guadalajara,False,2,1,team_a_win,0.5255946080408624,0.2376678171211336,0.23673757483800398
29,D,Turkey,Paraguay,United States,"Levi's Stadium, Santa Clara",Levi's Stadium,Santa Clara,True,2,1,team_a_win,0.4908186729240977,0.24287955128857752,0.2663017757873248
30,D,United States,Australia,United States,"Lumen Field, Seattle",Lumen Field,Seattle,False,1,1,draw,0.48488919193103436,0.24374710855256837,0.2713636995163972
31,C,Scotland,Morocco,United States,"Gillette Stadium, Boston",Gillette Stadium,Boston,True,2,3,team_b_win,0.20581048369513874,0.23185610316984218,0.5623334131350191
32,C,Brazil,Haiti,United States,"Lincoln Financial Field, Philadelphia",Lincoln Financial Field,Philadelphia,True,2,2,draw,0.7952006407367602,0.1713120326722763,0.033487326590963463
33,F,Tunisia,Japan,Mexico,"Estadio BBVA, Monterrey",Estadio BBVA,Monterrey,True,2,2,draw,0.0868374077503277,0.20108376867182218,0.7120788235778501
34,F,Netherlands,Sweden,United States,"NRG Stadium, Houston",NRG Stadium,Houston,True,2,3,team_b_win,0.5391413488309735,0.23556762645018547,0.22529102471884097
35,E,Germany,Côte d'Ivoire,Canada,"BMO Field, Toronto",BMO Field,Toronto,True,0,2,team_b_win,0.5918205228478804,0.22687524517186455,0.181304231980255
36,E,Ecuador,Curacao,United States,"GEHA Field at Arrowhead Stadium, Kansas City",GEHA Field at Arrowhead Stadium,Kansas City,True,6,0,team_a_win,0.7512786101598738,0.18906914565291327,0.05965224418721298
37,H,Spain,Saudi Arabia,United States,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,True,0,0,draw,0.802972095894463,0.16750843831065598,0.029519465794881055
38,G,Belgium,Iran,United States,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,True,1,0,team_a_win,0.6070363765554683,0.2241635383245926,0.16880008511993913
39,H,Uruguay,Cabo Verde,United States,"Hard Rock Stadium, Miami",Hard Rock Stadium,Miami,True,2,2,draw,0.6117001823974373,0.22330996741909853,0.16498985018346413
40,G,New Zealand,Egypt,Canada,"BC Place, Vancouver",BC Place,Vancouver,True,0,1,team_b_win,0.12803065693710788,0.21417454821050244,0.6577947948523897
41,J,Argentina,Austria,United States,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,True,0,0,draw,0.6231513056899843,0.22116503033981194,0.1556836639702037
42,I,France,Iraq,United States,"Lincoln Financial Field, Philadelphia",Lincoln Financial Field,Philadelphia,True,1,0,team_a_win,0.8085037015872953,0.16465410923354185,0.02684218917916283
43,I,Norway,Senegal,United States,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,True,0,3,team_b_win,0.41961725423520574,0.2530460926270541,0.32733665313774013
44,J,Jordan,Algeria,United States,"Levi's Stadium, Santa Clara",Levi's Stadium,Santa Clara,True,3,4,team_b_win,0.1816533785399714,0.2269491360617818,0.5913974853982468
45,K,Portugal,Uzbekistan,United States,"NRG Stadium, Houston",NRG Stadium,Houston,True,3,2,team_a_win,0.7408622441924125,0.19254279699586208,0.0665949588117254
46,L,England,Ghana,United States,"Gillette Stadium, Boston",Gillette Stadium,Boston,True,2,3,team_b_win,0.7582681657964098,0.1866022054519931,0.05512962875159709
47,L,Panama,Croatia,Canada,"BMO Field, Toronto",BMO Field,Toronto,True,1,0,team_a_win,0.11518593759317214,0.21052070749132365,0.6742933549155041
48,K,Colombia,Congo DR,Mexico,"Estadio Akron, Guadalajara",Estadio Akron,Guadalajara,True,0,3,team_b_win,0.6111873590211114,0.2234043704205792,0.16540827055830926
49,B,Switzerland,Canada,Canada,"BC Place, Vancouver",BC Place,Vancouver,False,1,1,draw,0.49607815676953937,0.24210547660718218,0.26181636662327845
