group,team,played,wins,draws,losses,goals_for,goals_against,points,model_strength_v0_2,dynamic_elo_rating,goal_difference,group_position
A,Mexico,3,2,1,0,6,4,7,0.5786855126501588,1898.0141364782908,2,1
A,South Africa,3,1,2,0,7,6,5,0.24546730458023583,1579.1453824499486,1,2
A,South Korea,3,1,1,1,5,5,4,0.46497630222241715,1716.951679902372,0,3
A,Czech Republic,3,0,0,3,4,7,0,0.4402120655069543,1667.8888011693887,-3,4
B,Bosnia and Herzegovina,3,2,1,0,7,5,7,0.3232925299520075,1620.4817840863689,2,1
B,Switzerland,3,1,1,1,4,4,4,0.607871990014961,1912.4012584005793,0,2
B,Canada,3,1,1,1,4,4,4,0.47172588198503657,1745.129987373083,0,3
B,Qatar,3,0,1,2,3,5,1,0.17742203967583486,1413.986970139969,-2,4
C,Morocco,3,3,0,0,9,5,9,0.635591780482746,1870.9880844489685,4,1
C,Brazil,3,1,1,1,7,6,4,0.7360448493594477,2000.881245512502,1,2
C,Scotland,3,1,0,2,5,7,3,0.46078496787307005,1731.4346160202379,-2,3
C,Haiti,3,0,1,2,4,7,1,0.1764379094356979,1501.6960540182918,-3,4
D,Turkey,3,3,0,0,7,4,9,0.609043521085509,1845.8862782071333,3,1
D,United States,3,0,2,1,3,4,2,0.5349378980518844,1776.974330981529,-1,2
D,Australia,3,0,2,1,3,4,2,0.4589882617324333,1803.0736172416343,-1,3
D,Paraguay,3,0,2,1,2,3,2,0.502705330331332,1813.0657735697037,-1,4
E,Côte d'Ivoire,3,3,0,0,4,0,9,0.522769910316276,1727.556148735372,4,1
E,Germany,3,2,0,1,3,3,6,0.7285137291245707,1907.0707099440242,0,2
E,Ecuador,3,1,0,2,6,2,3,0.5712846466300928,1895.4879302576578,4,3
E,Curacao,3,0,0,3,1,9,0,0.12197033391526849,1437.885211062946,-8,4
F,Japan,3,2,1,0,7,5,7,0.643942204780694,1909.62033752439,2,1
F,Sweden,3,1,1,1,4,4,4,0.44642792981983115,1749.2869441217033,0,2
F,Netherlands,3,1,0,2,6,7,3,0.6209448837470778,1991.7613458934943,-1,3
F,Tunisia,3,0,2,1,3,4,2,0.27800287976095595,1569.3313724604125,-1,4
G,Egypt,3,2,1,0,5,3,7,0.4820560993297326,1736.767202025931,2,1
G,Belgium,3,2,1,0,4,2,7,0.6623717741625353,1862.9031787320223,2,2
G,Iran,3,0,1,2,3,5,1,0.43978505568174403,1753.2711044351543,-2,3
G,New Zealand,3,0,1,2,2,4,1,0.19742596399123838,1548.0585148068924,-2,4
H,Spain,3,2,1,0,5,1,7,0.8755794315049884,2150.273148018831,4,1
H,Saudi Arabia,3,1,1,1,2,1,4,0.3010976818817337,1582.3847030148183,1,2
H,Uruguay,3,1,1,1,4,5,4,0.5264106887642578,1838.0730628287918,-1,3
H,Cabo Verde,3,0,1,2,2,6,1,0.28816372395320927,1554.2690861375586,-4,4
I,France,3,2,1,0,2,0,7,0.8534006672689334,2137.9821892061154,2,1
I,Senegal,3,2,0,1,4,1,6,0.5811766570592828,1856.0769919224776,3,2
I,Norway,3,1,1,1,4,6,4,0.6243686283198167,1921.0664705193728,-2,3
I,Iraq,3,0,0,3,3,6,0,0.26119016561391367,1562.8743483520338,-3,4
J,Argentina,3,1,2,0,2,1,5,0.8427875093118762,2144.6660326867404,1,1
J,Austria,3,1,1,1,2,1,4,0.6015765176336895,1832.2754039714207,1,2
J,Jordan,3,1,1,1,4,4,4,0.3491478754716928,1633.1022312662685,0,3
J,Algeria,3,1,0,2,5,7,3,0.5544327446531724,1762.9563320755708,-2,4
K,Colombia,3,2,0,1,7,5,6,0.6664623758629288,1999.4177424439758,2,1
K,Portugal,3,2,0,1,9,8,6,0.7268238099070562,1986.007494238219,1,2
K,Congo DR,3,1,0,2,8,7,3,0.4391603287857808,1716.0875871831656,1,3
K,Uzbekistan,3,1,0,2,5,9,3,0.30783497137203797,1639.4871761346396,-4,4
L,Croatia,3,2,0,1,3,2,6,0.6179738856331056,1920.2119774043085,1,1
L,Ghana,3,1,1,1,3,3,4,0.2951259931805708,1571.6227660751886,0,2
L,Panama,3,1,1,1,1,1,4,0.30189908744256927,1661.089477304967,0,3
L,England,3,1,0,2,4,5,3,0.7510129158389988,2037.0757792155362,-1,4
