match_id,stage,slot_home,slot_away,team_home,team_away,host_country,stadium,city,p_home_win,p_away_win,p_penalty_home,p_penalty_away,p_draw_after_extra_time,knockout_resolution,won_by_penalties,most_likely_winner,simulated_winner,simulated_loser,bracket_source
73,Round of 32,South Africa,Canada,South Africa,Canada,United States,,Los Angeles (Inglewood),0.28252188789872484,0.7174781121012752,0.4214934071638395,0.5785065928361606,0.21737414225951993,regular_time_or_extra_time,False,Canada,Canada,South Africa,openfootball_real_bracket_2026-06-28
74,Round of 32,Germany,Paraguay,Germany,Paraguay,United States,,Boston (Foxborough),0.7574339954936058,0.2425660045063942,0.7638119220507309,0.2361880779492691,0.21741916012067614,regular_time_or_extra_time,False,Germany,Germany,Paraguay,openfootball_real_bracket_2026-06-28
75,Round of 32,Netherlands,Morocco,Netherlands,Morocco,Mexico,,Monterrey (Guadalupe),0.5045562844020677,0.4954437155979323,0.5775207037371476,0.4224792962628524,0.23853531032643316,penalties,True,Netherlands,Morocco,Netherlands,openfootball_real_bracket_2026-06-28
76,Round of 32,Brazil,Japan,Brazil,Japan,United States,,Houston,0.6349666593902177,0.3650333406097823,0.7077273864882841,0.29227261351171585,0.23078973554212462,regular_time_or_extra_time,False,Brazil,Japan,Brazil,openfootball_real_bracket_2026-06-28
77,Round of 32,France,Sweden,France,Sweden,,,New York/New Jersey (East Rutherford),0.8753284570251632,0.12467154297483685,0.8388465534151114,0.16115344658488862,0.19930272625508977,regular_time_or_extra_time,False,France,France,Sweden,openfootball_real_bracket_2026-06-28
78,Round of 32,Côte d'Ivoire,Norway,Côte d'Ivoire,Norway,United States,,Dallas (Arlington),0.3794800012151513,0.6205199987848486,0.39226687524292386,0.6077331247570761,0.22984012819964592,regular_time_or_extra_time,False,Norway,Côte d'Ivoire,Norway,openfootball_real_bracket_2026-06-28
79,Round of 32,Mexico,Ecuador,Mexico,Ecuador,Mexico,,Mexico City,0.4862191875680492,0.5137808124319507,0.4129913636645928,0.5870086363354072,0.2392599133979934,regular_time_or_extra_time,False,Ecuador,Mexico,Ecuador,openfootball_real_bracket_2026-06-28
80,Round of 32,England,Congo DR,England,Congo DR,United States,,Atlanta,0.8251108324363591,0.17488916756364092,0.8208038333543618,0.1791961666456382,0.2088147412946782,regular_time_or_extra_time,False,England,England,Congo DR,openfootball_real_bracket_2026-06-28
81,Round of 32,United States,Bosnia and Herzegovina,United States,Bosnia and Herzegovina,United States,,San Francisco Bay Area (Santa Clara),0.7126796383166036,0.28732036168339636,0.6067615114427318,0.3932384885572682,0.2188354631900123,regular_time_or_extra_time,False,United States,United States,Bosnia and Herzegovina,openfootball_real_bracket_2026-06-28
82,Round of 32,Belgium,Senegal,Belgium,Senegal,United States,,Seattle,0.6173254973586582,0.38267450264134184,0.6743115406287791,0.32568845937122093,0.23188048828967472,regular_time_or_extra_time,False,Belgium,Belgium,Senegal,openfootball_real_bracket_2026-06-28
83,Round of 32,Portugal,Croatia,Portugal,Croatia,Canada,,Toronto,0.6217356163304494,0.3782643836695506,0.5845067100177714,0.41549328998222856,0.22911500757260495,regular_time_or_extra_time,False,Portugal,Portugal,Croatia,openfootball_real_bracket_2026-06-28
84,Round of 32,Spain,Austria,Spain,Austria,United States,,Los Angeles (Inglewood),0.8038723341575242,0.19612766584247576,0.8279085450633286,0.17209145493667144,0.2125997086128701,regular_time_or_extra_time,False,Spain,Spain,Austria,openfootball_real_bracket_2026-06-28
